FACILITYID,Jurisdiction,Qcalcs,AVGDISCHARGE,QInscfs,AVGQadj,Q4calcs,QInscf,Qcont4calc2023,Qcont4calcPrior,Qcf2023,Qcfp2022,Qboth,Q4calcsall
L03-708-1,LAGUNA NIGUEL,0.01925,0.018177,0.018,0.012542129999999999,0.018,1555.1999999999998,NA,NA,NA,NA,NA,1555.1999999999998
J01-9046-1,LAKE FOREST,1.4285714285714287e-4,0.004585,0.00132135,0.0031636499999999996,0.00132135,114.16464000000002,0.002,NA,172.79999999999998,NA,NA,172.79999999999998
J01-9273-1,LAGUNA WOODS,5.714285714285715e-4,0.001426,0.004,9.8394e-4,0.004,345.59999999999997,0,NA,0,NA,NA,0
J07-9110-3,MISSION VIEJO,8.75e-4,0.010083,0.00457286,0.00695727,0.00457286,395.095104,0,NA,0,NA,NA,0
L04-136-1 (L04P07),MISSION VIEJO,0.106,0.228296,0.106,0.15752423999999998,0.106,9158.4,NA,0.6856354166666666,NA,59238.899999999994,34198.649999999994,34198.649999999994
DP01-12022-1,DANA POINT,NA,0.055382,NA,0.03821358,0.03821358,3301.6533119999995,NA,NA,NA,NA,NA,3301.6533119999995
DP01-12022-2,DANA POINT,NA,0,0,0,0,0,NA,NA,NA,NA,NA,0
DP06-12106-1,DANA POINT,NA,0.331812,0.44591249999999993,0.22895027999999998,0.44591249999999993,38526.83999999999,NA,NA,NA,NA,NA,38526.83999999999
I00-11437-1,LAGUNA BEACH,NA,0.126,0.12764999999999999,0.08693999999999999,0.12764999999999999,11028.96,NA,NA,NA,NA,NA,11028.96
I00-11453-1,LAGUNA BEACH,NA,0.013896,0,0.00958824,0,0,NA,NA,NA,NA,NA,0
I00-11468-1,LAGUNA BEACH,NA,0.039855,NA,0.02749995,0.02749995,2375.99568,NA,NA,NA,NA,NA,2375.99568
I00-11518-1,LAGUNA BEACH,NA,0.079534,NA,0.05487845999999999,0.05487845999999999,4741.498943999999,NA,NA,NA,NA,NA,4741.498943999999
