FACILITYID,AREA,area_acres,JURISDICTI3,acres_juris_soc,AcresJO,sumNA,PERCENTAGE,JURISDICTI2,Acres,JURISDICTI,AcresOb,PERCENT_o
J06-10011-1 (J06P01),195.1358603,935.90125176,LAGUNA HILLS,3498.38696,1941.488538748,1,20.85002958,LAGUNA HILLS,237.2873008,ALISO VIEJO,195.1358603,5.577880964317338
J06-10011-1 (J06P01),357.1633736,935.90125176,LAGUNA WOODS,756.0075789,696.20500044,0,38.1624725,LAGUNA WOODS,829.0781602,ALISO VIEJO,357.1633736,47.2433588720998
J06-10011-1 (J06P01),214.9005429,935.90125176,LAKE FOREST,3303.943395,2320.512734174,0,22.96186189,LAKE FOREST,693.7997852,ALISO VIEJO,214.9005429,6.504365154234128
J06-9079-1 (J06P03),358.6735973,365.7871229,ALISO VIEJO,4298.475849,3530.302268142,2,98.05519597,ALISO VIEJO,368.9742325,ALISO VIEJO,358.6735973,8.344204083022637
J07-9022-1,82.52390061,82.52382766,MISSION VIEJO,11525.93439,7216.746164301,6,100,MISSION VIEJO,82.52428975,MISSION VIEJO,82.52390061,0.7159844730818392
J07-9109-2,3.865754338,201.64389276,LAKE FOREST,3303.943395,2320.512734174,0,1.91711778,LAKE FOREST,12.48046884,MISSION VIEJO,3.865754338,0.11700425448723525
J07-9109-2,197.7783173,201.64389276,MISSION VIEJO,11525.93439,7216.746164301,6,98.08288254,MISSION VIEJO,197.7792499,MISSION VIEJO,197.7783173,1.715941724183283
J07-9109-4 (J07P02),5.035829366,394.92574829,LAKE FOREST,3303.943395,2320.512734174,0,1.275132081,LAKE FOREST,16.25802004,MISSION VIEJO,5.035829366,0.1524187543170666
J07-9109-4 (J07P02),389.8902683,394.92574829,MISSION VIEJO,11525.93439,7216.746164301,6,98.72486798,MISSION VIEJO,389.8921068,MISSION VIEJO,389.8902683,3.3827215660560426
J07-9110-1,0.200030675,102.11849185,LAKE FOREST,3303.943395,2320.512734174,0,0.19588078,LAKE FOREST,0.645792876,MISSION VIEJO,0.200030675,0.006054300909111065
J07-9110-1,101.9185513,102.11849185,MISSION VIEJO,11525.93439,7216.746164301,6,99.80411911,MISSION VIEJO,101.9190319,MISSION VIEJO,101.9185513,0.8842541337770013
J07-9110-2,133.3910042,133.39088631,MISSION VIEJO,11525.93439,7216.746164301,6,100,MISSION VIEJO,133.3916332,MISSION VIEJO,133.3910042,1.1573118472349728
J07-9110-3,61.68003961,61.67998508,MISSION VIEJO,11525.93439,7216.746164301,6,100,MISSION VIEJO,61.68033046,MISSION VIEJO,61.68003961,0.5351413388533092
K01-12036-1,137.8054403,137.80531846,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,137.8077479,LAGUNA NIGUEL,137.8054403,1.4561362162168212
K01-12036-10,185.3718146,185.37165068,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,185.3749187,LAGUNA NIGUEL,185.3718146,1.9587514986147474
K01-12036-5,28.07628585,28.07626103,LAGUNA NIGUEL,9463.773977,7019.695595841,3,100,LAGUNA NIGUEL,28.076756,LAGUNA NIGUEL,28.07628585,0.2966711368871907
K01-12058-1 (K01P08),322.187599,329.52135056,LAGUNA NIGUEL,9463.773977,7019.695595841,3,97.77433651,LAGUNA NIGUEL,322.1929942,LAGUNA NIGUEL,322.187599,3.4044304078163634
K01-12058-1 (K01P08),7.334042507,329.52135056,SAN JUAN CAPISTRANO,9220.309393,4839.989555273,11,2.225663378,SAN JUAN CAPISTRANO,7.334047756,LAGUNA NIGUEL,7.334042507,0.07954226039928723
K01-12058-2 (K01P09),294.0437147,303.05249515,LAGUNA NIGUEL,9463.773977,7019.695595841,3,97.02723437,LAGUNA NIGUEL,294.0486386,LAGUNA NIGUEL,294.0437147,3.1070449845338692
K01-12058-2 (K01P09),9.009048593,303.05249515,SAN JUAN CAPISTRANO,9220.309393,4839.989555273,11,2.9727657,SAN JUAN CAPISTRANO,9.00905504,LAGUNA NIGUEL,9.009048593,0.09770874499981108
K01-12062-1,249.8323362,258.84115572,LAGUNA NIGUEL,9463.773977,7019.695595841,3,96.51947141,LAGUNA NIGUEL,249.8365197,LAGUNA NIGUEL,249.8323362,2.639880631206668
K01-12062-1,9.009048593,258.84115572,SAN JUAN CAPISTRANO,9220.309393,4839.989555273,11,3.480528667,SAN JUAN CAPISTRANO,9.00905504,LAGUNA NIGUEL,9.009048593,0.09770874499981108
