FACILITYID,JURISDICTI2,Acres,AREA,PERCENTAGE
L01-724-2 (L01S01),SAN JUAN CAPISTRANO,16.19790134,16.19788975,99.99999984
L01-724-3,SAN JUAN CAPISTRANO,23.47319507,23.47317827,100
L01-724-4 (L01P03),LAGUNA NIGUEL,101.4524952,101.4507964,29.00896475
L01-724-4 (L01P03),SAN JUAN CAPISTRANO,248.2716046,248.2714269,70.99103534
L01-726-1,SAN JUAN CAPISTRANO,0.896533566,0.896532925,100
L01-726-2,DANA POINT,2.515105319,2.514899575,100
L01-726-3,SAN JUAN CAPISTRANO,11.88575064,11.88574213,100
L01-726-4,DANA POINT,1.164042087,1.163946865,100
L01-726-5,DANA POINT,64.59412153,64.58883753,93.73312978
L01-726-5,SAN JUAN CAPISTRANO,4.318324685,4.318321595,6.26686923
L01-726-6,DANA POINT,5.636162795,5.635701739,90.70659762
L01-726-6,SAN JUAN CAPISTRANO,0.577409883,0.57740947,9.293403178
L01-726-7,SAN JUAN CAPISTRANO,5.744177238,5.744173127,100
L01-726-8,SAN JUAN CAPISTRANO,32.32895295,32.32892981,100
L01-726-9,SAN JUAN CAPISTRANO,89.2725508,89.27248691,100
L01-727-1 (L01S04),DANA POINT,425.1448688,425.1100906,92.73717517
L01-727-1 (L01S04),LAGUNA NIGUEL,33.29357196,33.29301445,7.26282481
L01-727-2,DANA POINT,0.727297383,0.727237887,100
L01-727-3,DANA POINT,4.740610804,4.740223007,100
L01-728-1,DANA POINT,3.069597039,3.069345936,100
L01-728-2,DANA POINT,95.98093044,95.97307889,100.000001
L01-728-3 (L01S02),DANA POINT,88.47208988,88.46485258,8.724176507
L01-728-3 (L01S02),SAN CLEMENTE,2.063264316,2.063255511,0.203472958
L01-728-3 (L01S02),SAN JUAN CAPISTRANO,923.4920703,923.4914094,91.07235047
L01-728-4 (L01-DP),DANA POINT,79.22549473,79.21901383,100
L01-728-5 (L01-DP),DANA POINT,24.72576949,24.72374684,100
L01-728-6,DANA POINT,4.466273545,4.465908189,100
L01-728-7 (L01S03),DANA POINT,10.13690817,10.13607894,5.459020382
L01-728-7 (L01S03),SAN JUAN CAPISTRANO,175.5398313,175.5397057,94.5409795
L01-728-8,DANA POINT,45.14230221,45.13860943,99.85352941
L01-730-1,ORANGE CO,7.098935326,4.17692253,12.81955962
L01-730-1,RANCHO SANTA MARGARITA,28.4054943,28.40549569,87.18044032
L01-731-1,ORANGE CO,109.0067185,64.13815558,5.866443295
L01-731-1,RANCHO SANTA MARGARITA,1029.167436,1029.167486,94.13355663
L01-733-2,ORANGE CO,202.8683486,119.3651353,99.1163795
L01-733-2,RANCHO SANTA MARGARITA,1.064137696,1.064137748,0.883620502
L01-733-4,ORANGE CO,86.14627093,50.68736133,100
L01-747-1,SAN JUAN CAPISTRANO,132.6157391,132.6156442,100
L01-747-2,ORANGE CO,73.38733717,43.18016829,17.94560662
L01-747-2,SAN JUAN CAPISTRANO,197.4369061,197.4367648,82.05439338
L01-748-1,SAN JUAN CAPISTRANO,99.9181037,99.91803219,100
