OBJECTID,Join ID,LSPC_LU_CODE,Sum acres,Summarized Area in ACRES,Count of Polygons,Percent of area,OBJECTID,MSLINK,TO_JURISDI,JURISDICTI,LTT_FEATUR,LTT_STATUS,LTT_CURREN,LTT_VERSIO,LTT_COMMIT,LTT_RETIRE,LTT_UNIQUE,MLT_TXID,GEOMETRY_A,GEOMETRY_L,Perimeter,Area,Acres,Hectares,Shape_Leng,NAME,Shape_Length,Shape_Area,Sum acres,Summarized Area in ACRES,Count of Polygons,JOIN ID
82,6,75,,485.0045995,2574,14.57546927,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
83,6,76,,208.9769696,758,6.280210713,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
84,6,77,,228.839554,684,6.877153892,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
85,6,78,,3.853330056,32,0.115801742,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
86,6,79,,3.446467624,36,0.10357437,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
87,6,9999,,0.000487433,5,1.46411E-05,6,22,15,LAKE FOREST,22, ,0,0,0,0,577,0,0,0,108600.1048,467930991.8,10742.21744,4347.221165,108599.6391,LAKE FOREST,106375.8601,144938387.2,,3327.543151,12678,6
88,7,,,0,1,4.4104E-09,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
89,7,10,,221.4269546,1226,3.919125165,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
90,7,20,,54.6850677,160,0.967894612,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
91,7,30,,22.09112377,76,0.391000843,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
92,7,40,,5.696715332,35,0.10082859,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
93,7,50,,1892.904489,7729,33.50329739,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
94,7,51,,0.797536306,10,0.014115952,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
95,7,52,,233.3316812,1841,4.129838158,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
96,7,60,,551.641321,3399,9.763727618,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
97,7,61,,57.29078075,95,1.014020563,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
98,7,70,,160.7343612,293,2.844903043,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
99,7,71,,2.223948399,10,0.039362469,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
100,7,75,,313.8736756,2750,5.555379757,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
101,7,76,,43.13607054,178,0.763483283,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
102,7,77,,1971.038737,1569,34.88630668,7,24,11,LAGUNA BEACH,24,E,49623,0,0,0,1001,46198,0,0,168401.3915,246376255.7,5656.020561,2288.910313,168363.5615,LAGUNA BEACH,165507.9771,246089475.1,,5649.615923,19808,7
