Accessibility,Facility Identifier,JURISDICTI,Area (Acres),SIZE1,INSPECTED,GlobalID,PERSISTENTFLOW,POINT_Y,POINT_X
Easily accessible,L01-340-1,ORANGE CO,169.4717178,90,1,{F1CABFEE-57C0-45D7-805A-974B2EF723C4},Yes,33.58696205,-117.5954402
Difficult accessibility,L01-372-1,ORANGE CO,117.6149137,42,1,{0562EDDC-63AD-4A1F-8BB1-E41C2E082A28},Yes,33.56873885,-117.585379
Difficult accessibility,L01-391-1,ORANGE CO,29.95853952,36,1,{6ACA9BF4-266E-4C31-8EE3-75E5E450E45E},Yes,33.57606988,-117.5859165
Easily accessible,L01-391-3,ORANGE CO,85.50832944,42,1,{D41F3C53-33B2-4B80-AB83-E479787A54C2},Unknown,33.57839188,-117.5868252
Easily accessible,L01-399-1,ORANGE CO,NA,36,1,{9F273F46-123A-4CB8-88E1-327AB79BEDBA},Unknown,33.56325497,-117.546523
Easily accessible,L01-399-2,ORANGE CO,NA,54,1,{02BEB49C-F068-46E2-825C-68BD9C28CB4E},Unknown,33.56270889,-117.5467328
Easily accessible,L01-404-1,ORANGE CO,237.7904417,72,1,{CDCEA1A5-E306-47B2-8945-27B1CD159C10},Yes,33.56452183,-117.5858466
Easily accessible,L01-404-2,ORANGE CO,NA,72,1,{1E7BFD35-867B-41B5-9FF2-898F561EE27E},Yes,33.56345111,-117.5855227
Easily accessible,L01-414-1,ORANGE CO,41.37487005,36,1,{68338A6C-A350-4B2E-90E5-C3AA59C3D9A8},Yes,33.56170664,-117.5905481
Easily accessible,L01-414-2,ORANGE CO,6.92037064,36,1,{424C51CE-5569-476A-8035-40A7D01575A0},Unknown,33.56488962,-117.5920748
Easily accessible,L01-414-3,ORANGE CO,86.8482772,60,1,{834FBB7A-F243-4A65-80C6-AE688690CC0C},Yes,33.56680442,-117.5924377
Difficult accessibility,L01-458-1,ORANGE CO,600.4552961,96,1,{12B3B591-46D7-4C09-AEF9-0205FDAAC85B},Unknown,33.5249855,-117.615117
Easily accessible,L01-471-1,ORANGE CO,319.331511,60,1,{1506D8A1-1F63-4CAD-971D-6107A4006B15},Unknown,33.52557232,-117.5973064
Difficult accessibility,L01-494-1,ORANGE CO,298.6999359,108,1,{8ACA8CDD-8242-491B-B115-35F97FCC3354},Yes,33.52846755,-117.6076268
Difficult accessibility,L01-514-1,ORANGE CO,267.4070994,72,1,{7A6C6799-AB04-4589-9958-5C84F3951CFC},Yes,33.52388419,-117.6229158
Easily accessible,L01-517-1,SAN JUAN CAPISTRANO,163.6332043,60,1,{CD0E12FD-1932-4531-BF8C-AE40939F31B4},Unknown,33.51866901,-117.6256819
Easily accessible,L01-517-2,SAN JUAN CAPISTRANO,NA,60,1,{E56548DF-493B-422E-A5B8-8731DDBDFE40},Unknown,33.51860298,-117.6257208
Easily accessible,L01-517-3,ORANGE CO,603.8362612,60,1,{6F4B7E90-A083-4289-A5D6-7E68F3E03AB8},Unknown,33.52266244,-117.6202815
Difficult accessibility,L01-517-6,ORANGE CO,13.85397146,60,1,{E5E98A69-01CF-4012-9B40-92C07976275C},Unknown,33.52411358,-117.618989
Difficult accessibility,L01-517-7,ORANGE CO,141.9090018,54,1,{91F7E163-76E3-4E60-AF6E-ABEF81E97F26},Unknown,33.52425393,-117.6195437
Easily accessible,L01-517-8,SAN JUAN CAPISTRANO,NA,60,1,{01A02819-9301-488A-B748-0623EE010001},Unknown,33.518737,-117.6245
Easily accessible,L01-556-1,SAN JUAN CAPISTRANO,96.73680063,36,1,{4FE0C734-3649-4717-871F-7A7EB924A050},Unknown,33.50553072,-117.6451428
Easily accessible,L01-601-1,SAN JUAN CAPISTRANO,10.8002002,42,1,{6E297702-950B-4ECB-93F7-6D8CE2CE5D00},Unknown,33.48172393,-117.677888
Difficult accessibility,L01-602-2,SAN JUAN CAPISTRANO,2.62733872,36,1,{99C5D60F-3F09-4BFF-AE19-4319471F81EF},Yes,33.49828674,-117.6536768
Easily accessible,L01-613-1,DANA POINT,NA,36,3,{66BF25E7-7C2E-440C-B88E-6770670FC382},Yes,33.46916647,-117.6793327
